127.0.0.1 - - [22/Nov/2016:14:35:49 +0900] "GET / HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET / HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/css/style.css HTTP/1.1" 200 9608
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/css/responsive.css HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/css/font-awesome.min.css HTTP/1.1" 200 29067
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/css/bootstrap.min.css HTTP/1.1" 200 121478
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/custom.js HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/jquery.min.js HTTP/1.1" 200 95997
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/nav-custom.js HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/countdown-js.js HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/jquery.contact.js HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/html5shiv.js HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/images/logo.png HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:51 +0900] "GET /html/js/typed.js HTTP/1.1" 200 12130
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:52 +0900] "GET /html/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:52 +0900] "GET /html/images/overlay-bg.png HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:35:52 +0900] "GET /html/images/main-bg.jpg HTTP/1.1" 200 1132411
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:36:14 +0900] "GET / HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:36:15 +0900] "GET /html/images/main-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:36:15 +0900] "GET /html/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2016:14:36:15 +0900] "GET /html/images/overlay-bg.png HTTP/1.1" 304 -
